product success mcic calc_mcic percent game_percent offer puo cop co co1 co2 mid fo
equ 1 20 20 80.3 80 2700763 102.854 1.102 2971649 2970000 2833346 1 1
ore 1 40 40 81.9 81 866159 32.342 1.208 1045020 1040000 920981 0 1
org 1 30 30 81.9 81 1630998 60.901 1.154 1879725 1870000 1774341 2 1
equ 1 20 20 81.9 81 2762112 103.137 1.102 3039151 3030000 2922004 2 1
ore 1 40 40 82.3 82 871431 32.38 1.208 1051381 1050000 960620 1 1
org 1 30 30 82.3 82 1640545 60.959 1.154 1890728 1890000 1716522 0 1
equ 1 20 20 82.3 82 2777525 103.207 1.102 3056110 3050000 2912277 1 1
ore 1 40 40 83.9 83 892579 32.534 1.208 1076896 1070000 981892 1 1
org 1 30 30 83.9 83 1678811 61.192 1.154 1934829 1930000 1756039 0 1
equ 1 20 20 83.9 83 2839243 103.489 1.102 3124019 3120000 3006238 2 1
ore 1 40 40 84.7 84 903192 32.61 1.208 1089701 1080000 992557 1 1
org 1 30 30 84.7 84 1697999 61.308 1.154 1956943 1950000 1848798 2 1
equ 1 20 20 84.7 84 2870153 103.63 1.102 3158029 3150000 3008781 1 1
ore 1 40 40 85.8 85 917898 32.716 1.208 1107443 1100000 1027491 2 1
org 1 30 30 85.8 85 1724564 61.468 1.154 1987560 1980000 1803567 0 1
equ 1 20 20 85.8 85 2912908 103.824 1.102 3205072 3200000 2999216 0 1
ore 1 40 40 86.4 86 925936 32.774 1.208 1117141 1110000 984303 0 1
org 1 30 30 86.4 86 1739076 61.555 1.154 2004285 2000000 1868826 1 1
equ 1 20 20 86.4 86 2936245 103.93 1.102 3230750 3230000 3080766 1 1
ore 1 40 40 87.1 87 935356 32.841 1.208 1128507 1120000 1046577 2 1
org 1 30 30 87.1 87 1756074 61.657 1.154 2023875 2020000 1837006 0 1
equ 1 20 20 87.1 87 2963564 104.054 1.102 3260809 3260000 3109411 1 1
ore 1 40 40 88.1 88 948860 32.937 1.208 1144799 1140000 1063585 2 1
org 1 30 30 88.1 88 1780428 61.803 1.154 2051943 2050000 1914156 1 1
equ 1 20 20 88.1 88 3002671 104.23 1.102 3303838 3300000 3091803 0 1
ore 1 40 40 89.7 89 970590 33.09 1.208 1171016 1170000 1070119 1 1
org 1 30 30 89.7 89 1819576 62.035 1.154 2097061 2090000 1981358 2 1
equ 1 20 20 89.7 89 3065459 104.512 1.102 3372924 3370000 3156574 0 1
ore 1 40 40 90.8 90 985641 33.196 1.208 1189175 1180000 1102733 2 1
org 1 30 30 90.8 90 1846665 62.196 1.154 2128281 2120000 1931237 0 1
equ 1 20 20 90.8 90 3108849 104.706 1.102 3420666 3420000 3293530 2 1
ore 1 40 40 91.6 91 996642 33.273 1.208 1202448 1200000 1098322 1 1
org 1 30 30 91.6 91 1866453 62.312 1.154 2151087 2150000 1952858 0 1
equ 1 20 20 91.6 91 3140516 104.848 1.102 3455509 3450000 3324713 2 1
ore 1 40 40 92.8 92 1013178 33.388 1.208 1222399 1220000 1077782 0 1
org 1 30 30 92.8 92 1896172 62.487 1.154 2185338 2180000 1983416 0 1
equ 1 20 20 92.8 92 3188033 105.059 1.102 3507792 3500000 3373940 2 1
ore 1 40 40 93.3 93 1020122 33.436 1.208 1230777 1230000 1145638 2 1
org 1 30 30 93.3 93 1908646 62.56 1.154 2199714 2190000 1995912 0 1
equ 1 20 20 93.3 93 3207962 105.148 1.102 3529720 3520000 3302524 0 1
ore 1 40 40 94.2 94 1032612 33.523 1.208 1245846 1240000 1157156 2 1
org 1 30 30 94.2 94 1931068 62.69 1.154 2225555 2220000 2103717 2 1
equ 1 20 20 94.2 94 3243761 105.306 1.102 3569110 3560000 3339464 0 1
ore 1 40 40 95.5 95 1050755 33.647 1.208 1267735 1260000 1176598 2 1
org 1 30 30 95.5 95 1963617 62.88 1.154 2263068 2260000 2054275 0 1
equ 1 20 20 95.5 95 3295676 105.535 1.102 3626232 3620000 3488749 2 1
ore 1 40 40 96.4 96 1063368 33.734 1.208 1282953 1280000 1131110 0 1
org 1 30 30 96.4 96 1986228 63.01 1.154 2289127 2280000 2077167 0 1
equ 1 20 20 96.4 96 3331703 105.694 1.102 3665872 3660000 3527099 2 1
ore 1 40 40 97.6 97 1080308 33.849 1.208 1303391 1300000 1149076 0 1
org 1 30 30 97.6 97 2016572 63.185 1.154 2324099 2320000 2167343 1 1
equ 1 20 20 97.6 97 3380007 105.906 1.102 3719021 3710000 3576735 2 1
ore 1 40 40 98.5 98 1093040 33.935 1.208 1318752 1310000 1223599 2 1
org 1 30 30 98.5 98 2039362 63.316 1.154 2350364 2350000 2224406 2 1
equ 1 20 20 98.5 98 3416252 106.065 1.102 3758902 3750000 3517128 0 1
ore 1 40 40 99.3 99 1104429 34.012 1.208 1332493 1330000 1239496 2 1
org 1 30 30 99.3 99 2059736 63.433 1.154 2373845 2370000 2154753 0 1
equ 1 20 20 99.3 99 3448630 106.206 1.102 3794527 3790000 3651641 2 1
ore 1 40 40 100 100 1114416 34.08 1.208 1344542 1340000 1227440 1 1
org 1 30 30 100 100 2077595 63.535 1.154 2394428 2390000 2264107 2 1
equ 1 20 20 100 100 3476991 106.33 1.102 3825733 3820000 3681101 2 1
ore 1 41 40 0.1 0 783 24.468 1.208 944 944 879 2 1
org 1 31 30 0.1 0 1566 48.937 1.154 1804 1800 1705 2 1
equ 1 21 20 0.1 0 2836 88.625 1.102 3120 3120 3006 2 1
ore 1 41 40 1.7 1 13665 24.621 1.208 16486 16400 15050 1 1
org 1 31 30 1.7 1 27300 49.189 1.154 31463 31400 28586 0 1
equ 1 21 20 1.7 1 49347 88.913 1.102 54296 54200 50858 0 1
ore 1 41 40 2.7 2 21803 24.719 1.208 26305 26300 24502 2 1
org 1 31 30 2.7 2 43518 49.34 1.154 50154 50100 45576 0 1
equ 1 21 20 2.7 2 78585 89.098 1.102 86467 86400 83272 2 1
ore 1 41 40 3.3 3 26736 24.778 1.208 32256 32200 30025 2 1
org 1 31 30 3.3 3 53335 49.43 1.154 61468 61400 57377 1 1
equ 1 21 20 3.3 3 96258 89.21 1.102 105912 105000 99117 0 1
ore 1 41 40 4.1 4 33309 24.857 1.208 40187 40100 35468 0 1
org 1 31 30 4.1 4 66397 49.55 1.154 76522 76500 72453 2 1
equ 1 21 20 4.1 4 119739 89.357 1.102 131748 131000 125457 1 1
